PROCESO,LAYOUT,PRODUCTO,ID,CANTIDAD,TYPE,INICIO,FIN,DIA,SEMANA,TIEMPO,TIEMPO_SEG,REGXSEG
CARGA BATCHMODULE,GENERICO_EXCEPCIONES,CORPBANCA_218011178_CPP,112278,121,< 1K,1/27/2022 11:08,1/27/2022 11:09,27,4,0:00:29,29,4.13
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_111121537_CPP,127694,1121,1K < 10K,1/14/2022 10:25,1/14/2022 10:27,14,2,0:01:19,79,14.18
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_117127238_CPP,130537,15,< 1K,1/2/2022 21:53,1/2/2022 21:54,2,1,0:00:10,10,1.5
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_117127238_CPP,130538,12,< 1K,1/2/2022 21:59,1/2/2022 21:59,2,1,0:00:02,2,6
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,BANCO_FALABELLA_117107236_CPP,130697,770,< 1K,1/3/2022 13:21,1/3/2022 13:22,3,1,0:01:14,74,10.4
CARGA BATCHMODULE,GEN_EMI_MEN_CTI,CCAF_ANDES_220031390_CTI,130698,1,< 1K,1/3/2022 16:06,1/3/2022 16:06,3,1,0:00:01,1,1
CARGA BATCHMODULE,GENERICO_EMISIONES,CORPBANCA_218011177_CPP,130699,16,< 1K,1/3/2022 18:24,1/3/2022 18:24,3,1,0:00:03,3,5.33
CARGA BATCHMODULE,GENERICO_EMISIONES,CORPBANCA_218011177_CPP,130890,10,< 1K,1/3/2022 18:24,1/3/2022 18:24,3,1,0:00:01,1,10
CARGA BATCHMODULE,GENERICO_EMISIONES,CORPBANCA_218011177_CPP,130892,7,< 1K,1/3/2022 18:25,1/3/2022 18:25,3,1,0:00:01,1,7
CARGA BATCHMODULE,GENERICO_EMISIONES,CORPBANCA_218011177_CPP,130893,4,< 1K,1/3/2022 18:25,1/3/2022 18:25,3,1,0:00:01,1,4
CARGA BATCHMODULE,GENERICO_EMISIONES,CORPBANCA_218011177_CPP,130895,15,< 1K,1/3/2022 18:26,1/3/2022 18:26,3,1,0:00:02,2,7.5
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,CORPBANCA_216031097_CPP,131090,561,< 1K,1/3/2022 21:23,1/3/2022 21:24,3,1,0:00:58,58,9.67
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,CORPBANCA_216031097_CPP,131091,189462,> 10K,1/3/2022 21:38,1/3/2022 21:56,3,1,0:18:37,1117,169.61
CARGA BATCHMODULE,GENERICO_EMISIONES,CORPBANCA_121107451_CPP,131092,1135,1K < 10K,1/3/2022 21:40,1/3/2022 21:40,3,1,0:00:36,36,31.52
CARGA BATCHMODULE,GENERICO_EMISIONES,SCOTIABANK_121107448_CPP,131095,193,< 1K,1/4/2022 2:24,1/4/2022 2:25,4,1,0:00:12,12,16.08
CARGA BATCHMODULE,GENERICO_EXCEPCIONES,CORPBANCA_121107451_CPP,131096,2,< 1K,1/4/2022 2:34,1/4/2022 2:34,4,1,0:00:01,1,1
CARGA BATCHMODULE,GENERICO_EMISIONES,SCOTIABANK_221101519_CPP,131097,846,< 1K,1/4/2022 3:13,1/4/2022 3:14,4,1,0:00:26,26,32.53
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_119057335_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:00,4,1,0:00:36,36,19.44
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107446_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107448_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041197_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041198_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041199_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041200_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:00,4,1,0:00:36,36,19.44
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101516_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101519_CPP,131098,700,< 1K,1/4/2022 6:00,1/4/2022 6:01,4,1,0:00:37,37,18.91
CARGA BATCHMODULE,GENERICO_EMISIONES,SCOTIABANK_218041222_CPP,131292,1,< 1K,1/4/2022 14:54,1/4/2022 14:54,4,1,0:00:22,22,0.04
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,LA_POLAR_115016234_CPP,131294,13257,> 10K,1/4/2022 21:01,1/4/2022 21:07,4,1,0:06:17,377,35.16
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,LA_POLAR_115016234_CPP,131295,18754,> 10K,1/4/2022 21:09,1/4/2022 21:18,4,1,0:09:17,557,33.66
CARGA BATCHMODULE,116036887_CORPBANCA_EM,CORPBANCA_116036887_CPP,131296,2,< 1K,1/4/2022 21:16,1/4/2022 21:16,4,1,0:00:01,1,1
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,131297,406,< 1K,1/5/2022 6:00,1/5/2022 6:00,5,1,0:00:32,32,12.68
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107446_CPP,131297,406,< 1K,1/5/2022 6:00,1/5/2022 6:00,5,1,0:00:32,32,12.68
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107448_CPP,131297,406,< 1K,1/5/2022 6:00,1/5/2022 6:00,5,1,0:00:32,32,12.68
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041197_CPP,131297,406,< 1K,1/5/2022 6:00,1/5/2022 6:00,5,1,0:00:32,32,12.68
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041198_CPP,131297,406,< 1K,1/5/2022 6:00,1/5/2022 6:00,5,1,0:00:32,32,12.68
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101516_CPP,131297,406,< 1K,1/5/2022 6:00,1/5/2022 6:00,5,1,0:00:32,32,12.68
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101519_CPP,131297,406,< 1K,1/5/2022 6:00,1/5/2022 6:00,5,1,0:00:32,32,12.68
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_218041197_CPP,131298,17533,> 10K,1/5/2022 12:48,1/5/2022 12:54,5,1,0:06:02,362,48.43
CARGA BATCHMODULE,GENERICO_EXCEPCIONES,CORPBANCA_116036887_CPP,131490,2,< 1K,1/5/2022 13:33,1/5/2022 13:33,5,1,0:00:01,1,1
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_218041198_CPP,131491,1273,1K < 10K,1/5/2022 14:57,1/5/2022 14:58,5,1,0:00:33,33,38.57
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_218041236_CPP,131493,87,< 1K,1/5/2022 16:11,1/5/2022 16:12,5,1,0:00:14,14,6.21
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,LA_POLAR_21311706_CPP,131495,43904,> 10K,1/5/2022 18:20,1/5/2022 18:30,5,1,0:09:37,577,76.09
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,131497,387,< 1K,1/5/2022 16:19,1/5/2022 16:19,5,1,0:00:07,7,55.28
CARGA BATCHMODULE,GENERICO_EMISIONES,SCOTIABANK_119057335_CPP,131498,14,< 1K,1/5/2022 17:28,1/5/2022 17:28,5,1,0:00:02,2,7
CARGA BATCHMODULE,GEN_EMI_MEN_BUILDING_MOD2,LA_POLAR_119087354_CPP,131499,125,< 1K,1/5/2022 17:10,1/5/2022 17:11,5,1,0:00:18,18,6.94
CARGA BATCHMODULE,GENERICO_EMISIONES,FORUM_220111437_CPP,131690,28,< 1K,1/5/2022 17:36,1/5/2022 17:36,5,1,0:00:03,3,9.33
CARGA BATCHMODULE,GENERICO_EXCEPCIONES,CORPBANCA_220041400_CPP,131691,2,< 1K,1/6/2022 2:13,1/6/2022 2:13,6,1,0:00:02,2,0.5
CARGA BATCHMODULE,GENERICO_EMISIONES,CORPBANCA_220041400_CPP,131692,1,< 1K,1/13/2022 20:37,1/13/2022 20:37,13,2,0:00:01,1,1
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,131694,381,< 1K,1/6/2022 6:00,1/6/2022 6:00,6,1,0:00:27,27,14.11
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107446_CPP,131694,381,< 1K,1/6/2022 6:00,1/6/2022 6:00,6,1,0:00:27,27,14.11
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107448_CPP,131694,381,< 1K,1/6/2022 6:00,1/6/2022 6:00,6,1,0:00:27,27,14.11
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041197_CPP,131694,381,< 1K,1/6/2022 6:00,1/6/2022 6:00,6,1,0:00:27,27,14.11
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041198_CPP,131694,381,< 1K,1/6/2022 6:00,1/6/2022 6:00,6,1,0:00:27,27,14.11
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101516_CPP,131694,381,< 1K,1/6/2022 6:00,1/6/2022 6:00,6,1,0:00:27,27,14.11
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101519_CPP,131694,381,< 1K,1/6/2022 6:00,1/6/2022 6:00,6,1,0:00:27,27,14.11
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,CENCOSUD_215071016_CPP,131696,10959,> 10K,1/6/2022 22:57,1/6/2022 23:07,6,1,0:09:45,585,18.73
CARGA BATCHMODULE,116056933_BANCO_FALABELLA_EM,BANCO_FALABELLA_116056933_CPP,131697,58,< 1K,1/7/2022 1:33,1/7/2022 1:33,7,1,0:00:08,8,7.12
CARGA BATCHMODULE,116056933_BANCO_FALABELLA_EM,BANCO_FALABELLA_116056933_CPP,131698,28,< 1K,1/7/2022 1:36,1/7/2022 1:36,7,1,0:00:03,3,9
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107446_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107448_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041197_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041198_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041200_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:29,29,15.68
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221081485_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101516_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101519_CPP,131699,455,< 1K,1/7/2022 6:00,1/7/2022 6:01,7,1,0:00:30,30,15.16
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117087192_CPP,131890,4861,1K < 10K,1/7/2022 11:07,1/7/2022 11:12,7,1,0:04:40,280,17.36
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107211_CPP,131891,17297,> 10K,1/7/2022 14:02,1/7/2022 14:13,7,1,0:11:04,664,26.04
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107211_CPP,131892,142,< 1K,1/11/2022 19:30,1/11/2022 19:31,11,2,0:00:25,25,5.68
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107212_CPP,131893,14274,> 10K,1/11/2022 19:35,1/11/2022 19:46,11,2,0:10:38,638,22.37
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107212_CPP,131894,102,< 1K,1/11/2022 19:49,1/11/2022 19:49,11,2,0:00:21,21,4.85
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107214_CPP,131896,4821,1K < 10K,1/10/2022 18:33,1/10/2022 18:37,10,2,0:04:13,253,19.05
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107215_CPP,131897,9901,1K < 10K,1/10/2022 19:48,1/10/2022 19:57,10,2,0:08:37,517,19.15
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107215_CPP,131898,8,< 1K,1/10/2022 20:04,1/10/2022 20:04,10,2,0:00:02,2,4
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_119057335_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:27,27,12.51
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121017405_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:29,29,11.65
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:27,27,12.51
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041196_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:29,29,11.65
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041198_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:27,27,12.51
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041199_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:29,29,11.65
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041200_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:27,27,12.51
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041225_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:29,29,11.65
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041226_CPP,131900,338,< 1K,1/7/2022 12:28,1/7/2022 12:28,7,1,0:00:29,29,11.65
CARGA BATCHMODULE,GEN_EMI_MEN_CTI,CCAF_ANDES_220031390_CTI,131901,1,< 1K,1/7/2022 13:14,1/7/2022 13:15,7,1,0:00:01,1,1
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_119057335_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:28,28,16.32
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:30,30,15.23
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107446_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:30,30,15.23
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107448_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:30,30,15.23
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041197_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:30,30,15.23
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041198_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:30,30,15.23
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101516_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:30,30,15.23
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101519_CPP,131926,457,< 1K,1/8/2022 6:00,1/8/2022 6:00,8,2,0:00:30,30,15.23
CARGA BATCHMODULE,GENERICO_AJUSTE_PRIMA_002,SCOTIABANK_117127238_CPP,131928,1,< 1K,1/9/2022 14:09,1/9/2022 14:09,9,2,0:00:04,4,0.25
CARGA BATCHMODULE,GENERICO_AJUSTE_PRIMA_002,LA_POLAR_21311706_CPP,132090,7,< 1K,1/10/2022 19:08,1/10/2022 19:08,10,2,0:00:04,4,1.75
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107213_CPP,132100,3340,1K < 10K,1/10/2022 17:20,1/10/2022 17:22,10,2,0:01:37,97,34.43
CARGA BATCHMODULE,GENERICO_EMISIONES,FORUM_220111437_CPP,132102,28,< 1K,1/10/2022 21:04,1/10/2022 21:04,10,2,0:00:04,4,7
CARGA BATCHMODULE,GENERICO_EXCEPCIONES,RIPLEY_117107213_CPP,132103,81,< 1K,1/10/2022 19:51,1/10/2022 19:52,10,2,0:00:14,14,5.71
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,CORPBANCA_216031090_CPP,132109,31408,> 10K,1/13/2022 21:18,1/13/2022 21:31,13,2,0:12:20,740,42.44
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_119057335_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:05,11,2,0:04:44,284,55.03
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121057429_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:07,11,2,0:06:22,382,40.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107446_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:07,11,2,0:06:22,382,40.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_121107448_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:06,11,2,0:06:15,375,41.67
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041196_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:07,11,2,0:06:22,382,40.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041197_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:07,11,2,0:06:22,382,40.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041198_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:04,11,2,0:03:42,222,70.4
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041218_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:07,11,2,0:06:22,382,40.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_218041225_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:07,11,2,0:06:22,382,40.91
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221081485_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:02,11,2,0:01:57,117,133.58
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101516_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:07,11,2,0:06:23,383,40.8
CARGA BATCHMODULE,PMCOMPANIAICS,SCOTIABANK_221101519_CPP,132291,15629,> 10K,1/11/2022 6:00,1/11/2022 6:06,11,2,0:06:14,374,41.78
CARGA BATCHMODULE,GENERICO_EMISIONES,CENCOSUD_121077437_CPP,132294,1155,1K < 10K,1/11/2022 11:33,1/11/2022 11:34,11,2,0:00:43,43,26.86
CARGA BATCHMODULE,GENERICO_EMISIONES,CENCOSUD_121077438_CPP,132295,131,< 1K,1/11/2022 11:33,1/11/2022 11:33,11,2,0:00:19,19,6.89
CARGA BATCHMODULE,GENERICO_EMISIONES,CENCOSUD_121077439_CPP,132296,1888,1K < 10K,1/11/2022 11:33,1/11/2022 11:34,11,2,0:00:49,49,38.53
CARGA BATCHMODULE,GENERICO_EMISIONES,CENCOSUD_221101520_CPP,132297,3965,1K < 10K,1/11/2022 11:34,1/11/2022 11:37,11,2,0:03:08,188,21.09
CARGA BATCHMODULE,GENERICO_EMISIONES,CENCOSUD_221101522_CPP,132298,2815,1K < 10K,1/11/2022 11:34,1/11/2022 11:37,11,2,0:02:51,171,16.46
CARGA BATCHMODULE,GENERICO_EMISIONES,FORUM_220111437_CPP,132299,8486,1K < 10K,1/11/2022 11:43,1/11/2022 11:47,11,2,0:03:27,207,40.99
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_117127238_CPP,132490,15,< 1K,1/11/2022 12:43,1/11/2022 12:43,11,2,0:00:03,3,5
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_117127238_CPP,132491,16,< 1K,1/11/2022 12:48,1/11/2022 12:48,11,2,0:00:04,4,4
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_218041197_CPP,132492,16878,> 10K,1/11/2022 17:26,1/11/2022 17:33,11,2,0:07:42,462,36.53
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,RIPLEY_117107216_CPP,132493,99662,> 10K,1/11/2022 21:06,1/11/2022 21:31,11,2,0:25:36,1536,64.88
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_118047259_CPP,132494,384,< 1K,1/11/2022 15:41,1/11/2022 15:42,11,2,0:00:48,48,8
CARGA BATCHMODULE,GENERICO_EMISIONES,CENCOSUD_221101522_CPP,132495,1,< 1K,1/11/2022 16:27,1/11/2022 16:27,11,2,0:00:01,1,1
CARGA BATCHMODULE,GENERICO_EMISIONES_MENSUALES_001B2,SCOTIABANK_218041241_CPP,132496,1150,1K < 10K,1/11/2022 18:22,1/11/2022 18:24,11,2,0:01:33,93,12.36
CARGA BATCHMODULE,GEN_EMI_MEN_CTI,CCAF_ANDES_220031390_CTI,132497,1,< 1K,1/11/2022 18:20,1/11/2022 18:20,11,2,0:00:01,1,1
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_10606286_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:40,11,2,0:06:51,411,209.24
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_114024936_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_115076474_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_116046822_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_116127054_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_118017225_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_118097293_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_119057332_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_119117363_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_121027414_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21310615_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:42,11,2,0:08:11,491,175.15
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21310616_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21310624_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:43,11,2,0:09:10,550,156.36
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21310625_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:41,11,2,0:08:06,486,176.95
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21310626_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:43,11,2,0:09:10,550,156.36
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21310627_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:43,11,2,0:09:10,550,156.36
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21311716_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:44,11,2,0:10:14,614,140.06
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21311717_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:43,11,2,0:09:10,550,156.36
CARGA BATCHMODULE,LAYOUT_EMISIONES_MENSUALES_MOD2_CCAF,CCAF_ANDES_21505992_CPP,132498,85999,> 10K,1/11/2022 18:33,1/11/2022 18:43,11,2,0:09:10,550,156.36
